Sequence,Ax_min,Ay_min,Az_min,Ax_max,Ay_max,Az_max,Ax_mean,Ay_mean,Az_mean,Ax_median,Ay_median,Az_median,Ax_std_dev,Ay_std_dev,Az_std_dev,Ax_range,Ay_range,Az_range,Ax_energy,Ay_energy,Az_energy,Ax_skewness,Ay_skewness,Az_skewness,Ax_kurtosis,Ay_kurtosis,Az_kurtosis,Ax_rms,Ay_rms,Az_rms,Ax_iqr,Ay_iqr,Az_iqr,Gx_min,Gy_min,Gz_min,Gx_max,Gy_max,Gz_max,Gx_mean,Gy_mean,Gz_mean,Gx_median,Gy_median,Gz_median,Gx_std_dev,Gy_std_dev,Gz_std_dev,Gx_range,Gy_range,Gz_range,Gx_energy,Gy_energy,Gz_energy,Gx_skewness,Gy_skewness,Gz_skewness,Gx_kurtosis,Gy_kurtosis,Gz_kurtosis,Gx_rms,Gy_rms,Gz_rms,Gx_iqr,Gy_iqr,Gz_iqr,Mx_min,My_min,Mz_min,Mx_max,My_max,Mz_max,Mx_mean,My_mean,Mz_mean,Mx_median,My_median,Mz_median,Mx_std_dev,My_std_dev,Mz_std_dev,Mx_range,My_range,Mz_range,Mx_energy,My_energy,Mz_energy,Mx_skewness,My_skewness,Mz_skewness,Mx_kurtosis,My_kurtosis,Mz_kurtosis,Mx_rms,My_rms,Mz_rms,Mx_iqr,My_iqr,Mz_iqr
11,-0.3116455,0.2435303,0.01837036,0.04962158,0.1496565,0.5551758,2.-0.4734347,2.041033,0.1507797,0.2580566,0.1999512,0.6473389,0.4514929,0.5072632,0.157274,0.4473877,22.8581,-0.2523224,1.50177,0.4781014,0.2937012,0.1785889,0.5834961,0.3864527,0.4126587,0.08835125,0.4049072,15.71516,-0.7798466,3.29366,0.3964235,0.04199219,-245.0,-245.0,-245.0,-245.0,0.0,0.0,6002501.0,0,0,245.0,0.0,-208.9992,-116.2419,-167.3522,-167.3421,29.42346,92.75727,2887249.0,0.1262779,1.677139,169.9191,56.03868,-36.96533,91.50864,10.12987,7.159042,40.501,128.474,174294.5,0.4559031,1.933758,41.74859,70.16235,-0.1088867,-0.1088867,-0.1088867,-0.1088867,0.0,0.0,1.185632,0,0,0.1088867,0.0,0.2683105,0.2683105,0.2683105,0.2683105,0.0,0.0,7.19905,0,0,0.2683105,0.0,-0.1248779,-0.1248779,-0.1248779,-0.1248779,0.0,0.0,1.559448,0,0,0.1248779,0.0,
16,0.2380371,0.5708008,0.3342432,0.2832031,0.09309977,0.3327637,12.03861,1.075728,2.798824,0.346967,0.1119385,-1.078125,-0.5057373,-0.9046473,-0.9940796,0.1738025,0.5723877,84.88141231,2.238735,0.9211916,0.3039551,0.05151367,0.5479736,0.2739172,0.2758789,0.1384378,0.49646,9.41957,0.1458954,2.210911,0.3069132,0.1965332,-112.3316,-79.98688,-93.27041,-94.05076,10.0879,32.34467,880113.3,-0.4424141,1.941172,93.81435,14.38538,228.6931,244.9626,241.4875,244.9589,4.483953,16.26953,5833620.0,-0.9649824,2.609998,241.5289,6.841278,12.83768,103.965,68.04509,78.34946,30.04357,91.12733,553274.8,-0.444769,1.710191,74.38245,54.87229,0.04846191,0.04846191,0.04846191,0.04846191,0.0,0.0,0.2348557,0,0,0.04846191,0.0,0.3306885,0.3306885,0.3306885,0.3306885,0.0,0.0,10.93549,0,0,0.3306886,0.0,-0.177124,-0.177124,-0.177124,-0.177124,0.0,0.0,3.137295,0,0,0.1771241,0.0,
18,0.1700439,0.4082031,0.2817725,0.2741699,0.06813042,0.2381592,8.403748,0.3515239,1.876178,0.2898922,0.1295166,-0.173584,0.6868896,0.123512,0.0006713867,0.2231873,0.8604736,6.506778,1.088321,2.903061,0.2550838,0.3103027,-0.5523682,-0.1091309,-0.3386817,-0.3711548,0.1633546,0.4432373,14.139,0.1854659,1.465878,0.3760186,0.376709,-137.6555,14.98352,-85.71271,-114.8213,52.89829,152.639,1014490.00.6640211,1.848161,100.7219,96.45081,-60.77896,122.657,9.286123,0.7738495,51.46347,183.436,273472.1,0.5154032,2.123678,52.29456,89.86374,-245.0,-245.0,-245.0,-245.0,0.0,0.0,6002501.0,0,0,245.0,0.0,0.1453857,0.1453857,0.1453857,0.1453857,0.0,0.0,2.1137,0,0,0.1453,0.0,0.3848877,0.3848877,0.3848877,0.3848877,0.0,0.0,14.81387,0,0,0.384888,0.0,-0.1629639,-0.1629639,-0.1629639,-0.1629639,0.0,0.0,2.655721,0,0,0.1629638,0.0,
19,0.3934326,0.8492432,0.6085462,0.6260986,0.1344669,0.4558105,38.84098,0.02158329,1.749438,0.6232253,0.2646484,-0.8013916,-0.1881104,-0.5495447,-0.5692139,0.1842291,0.6132813,33.59398,0.5507252,2.219995,0.5796031,0.2982178,1.066528,1.730713,1.43965,1.459351,0.1868788,0.6641846,210.7515,-0.1853456,1.897925,1.451728,0.3103027,-239.0709,-176.6994,-221.6315,-224.7939,13.62719,62.37152,4930620.1.325493,4.567657,222.05,11.11053,107.5987,244.9626,198.5729,199.1821,43.77026,137.3639,4134700.0,-0.2445924,1.608406,203.3396,79.9196,-80.5925,-6.833802,-38.10817,-33.66432,25.25486,73.7587,209003.9,-02033,1.64077,45.71695,46.4235,0.02587891,0.02587891,0.02587891,0.02587891,0.0,0.0,0.06697178,0,,0.02587891,0.0,0.1739502,0.1739502,0.1739502,0.1739502,0.0,0.0,3.025866,0,0,0.17,0.0,-0.2143555,-0.2143555,-0.2143555,-0.2143555,0.0,0.0,4.594824,0,0,0.2143554,0.0,
22,-0.3537598,0.3132324,-0.05228149,-0.07263184,0.2199071,0.6669922,5.10925,0.2180933,1.674217,0.2260365,0.4124756,1.611206,2.558105,2.000619,1.883545,0.2964401,0.9468994,409.0352,8758,2.032451,2.022462,0.4927979,-0.05749512,0.7253418,0.3153528,0.2945557,0.2639534,0.7828369,16.0.2412729,1.617618,0.4112405,0.5157471,153.6334,244.9626,227.5849,244.9626,29.59063,91.32921,5267053.0,-1.318804,3.00207,229.5006,26.89407,120.6682,244.9626,234.1374,244.9626,25.65404,124.2944,5547840.0,-2.882998,10.55268,235.5385,8.261871,-206.3599,165.4991,16.40291,-0.8934784,68.13203,371.859,491102.9,0.2921516,3.763919,70.07874,42.31873,0.4803467,0.4803467,0.4803467,0.4803467,0.0,0.0,23.07332,0,0,0.480347,0.0,-0.1094971,-0.1094971,-0.1094971,-0.1094971,0.0,0.0,1.19896,0,0,0.109497,0.0,0.1220703,0.1220703,0.1220703,0.1220703,0.0,0.0,1.490116,0,0,0.1220703,0.0,
25,-0.9853516,1.040405,0.3357178,0.3776245,0.2924327,2.025757,19.82233,-1.347578,8.861235,0.4452228,0.2227783,-0.0008544922,1.552124,0.7016113,0.7130127,0.2273262,1.552979,54.39355,0.1916924,4.777862,0.7375198,0.2438965,-0.1118164,2.09375,0.7053516,0.6968994,0.3023335,2.205566,58.892643,9.779993,0.7674154,0.2513428,-77.12326,-16.25458,-50.81807,-56.52092,18.38503,60.86868,292048.5,0.4627601,1.915096,54.04152,32.15775,-114.4176,131.6591,-15.1581,-18.94249,70.35194,246.0767,517916.3,0.2231554,2.081779,71.9664,128.9076,-165.7982,-24.32953,-84.70985,-81.30653,32.93261,141.4687,826031.3,-0.5305161,3.263291,90.88626,30.26612,-0.03015137,-0.03015137,-0.03015137,-0.03015137,0.0,0.0,0.09091049,0,0,0.03015137,0.0,0.1733398,0.1733398,0.1733398,0.1733398,0.0,0.0,3.00467,0,0,0.1738,0.0,-0.1574707,-0.1574707,-0.1574707,-0.1574707,0.0,0.0,2.479699,0,0,0.1574706,0.0,
37,-0.4631348,0.5626221,0.08419434,0.2070313,0.2965719,1.025757,9.504361,-0.3330317,1.90614,0.3082914,0.4291992,-0.364624,0.6936035,0.1477466,0.1543579,0.2133326,1.058228,6.733987,0.1437662,3.347903,0.2594993,0.2156982,0.1495361,0.5855713,0.3594006,0.3391724,0.1291249,0.4360352,14.58421,0.2986888,1.912976,0.3818928,0.22229,-174.0526,59.08173,-27.47053,23.18184,84.14766,233.1343,783545.9,-0.6709664,1.809873,88.51813,145.5734,195.0475,244.9626,240.8891,244.9626,11.22344,49.91516,5815346.0,-2.801573,9.683174,241.1503,0.0,-245.0,-245.0,-245.0,-245.0,0.0,0.0,6002501.0,0,0,245.0,0.0,0.5705566,0.5705566,0.5705566,0.5705566,0.0,0.0,32.55349,0,0,0.5705566,0.0,0.07958984,0.07958984,0.07958984,0.07958984,0.0,0.0,0.6334543,0,00.07958984,0.0,0.009887695,0.009887695,0.009887695,0.009887695,0.0,0.0,0.009776651,0,0,0.009887695,0.0,
39,-0.7531738,-0.1721191,-0.5074084,-0.5164795,0.1447134,0.5810547,27.84053,0.3798976,2.595076,0.5276412,0.1748047,0.7086182,1.715332,1.251536,1.35376,0.362627,1.006714,169.784,-0.1732,1.303012,0.7607422,0.8338623,1.791504,1.34481,1.291321,0.3491098,0.9576416,193.039,-939393,1.397813,1.389385,0.7008057,49.73572,156.497,115.3438,131.046,31.36189,106.7613,1428778.0,-0.7000479,2.149439,119.5315,48.79363,57.39945,244.9626,153.1279,136.7358,71.74577,187.5632,2859560.0,0.1553215,1.384971,169.1023,163.7421,25.30899,183.7949,144.0758,161.2635,42.73549,158.4859,2258416.0,-1.364849,3.652033,150.2803,42.1991,-0.1481934,-0.003662109,-0.07448242,-0.003662109,0.0722512,0.1445313,1.076783,-0.04000795,1.0016,0.1037682,0.1445313,0.1619873,0.390625,0.2785925,0.390625,0.114296,0.2286377,9.067737,-0.04000767,1.0016,0.3011268,0.2286377,-0.1079102,-0.004150391,-0.05706787,-0.1079102,0.05186948,0.1037598,0.5947187,0.04000847,1.001602,0.07711801,0.1037598,
41,-0.7532959,-0.04504395,-0.3525781,-0.3486938,0.2222866,0.708252,17.37227,-0.2337615,1.814714,0.4168005,0.3859863,1.350098,1.86084,1.618788,1.64502,0.1357303,0.5107422,263.8897,-0.1229056,2.018547,1.624468,0.194458,-0.08544922,0.8364258,0.4861463,0.545166,0.2968698,0.921875,32.44698,-0.4229246,1.70128,0.5696225,0.5996094,88.36839,206.1057,142.0668,147.1772,32.58008,117.7373,2124444.0,0.01154835,2.018687,145.7547,51.575,-183.6678,80.19623,-94.02302,-141.7117,90.85635,263.864,1709521.0,0.6639405,1.871502,130.7486,159.1139,158.0148,244.9626,229.0434,244.9626,26.9917,86.9478,5318946.0,-1..359763,230.6284,25.06226,-0.01806641,-0.01806641,-0.01806641,-0.01806641,0.0,0.0,0.0326395,0,0,0.01806641,0.0,0.2850342,0.2850342,0.2850342,0.2850342,0.0,0.0,8.124448,0,0,0.2850342,0.0,-0.159668,-0.159668,-0.159668,-0.159668,0.0,0.0,2.549386,0,0,0.159668,0.0,
42,-0.5322266,0.06958008,-0.2323486,-0.2755737,0.1987436,0.6018066,9.348493,0.2235624,1.46956,0.305753,0.37854,0.7252197,1.254395,0.9656555,0.9137573,0.1566375,0.5291748,95.70261,0.5996926,2.027458,0.9782771,0.2717285,-0.7008057,0.2926025,-0.2395838,-0.1263428,0.2821789,0.9934082,130.2811439,1.874069,0.3701693,0.4952393,101.4154,168.4674,125.1842,123.2066,15.69933,67.05199,1591754.0,0.7699296,3.130042,126.1647,21.57058,-165.8655,-48.77869,-123.3799,-126.9936,30.05847,117.0868,1612611.0,0.762723,2.893276,126.9886,38.79714,244.9626,244.9626,244.9628,244.9626,0.0001220703,0.0,6000667.0,-1.0,1.0,244.9626,0.0,-0.09228516,-0.09228516,-0.09228516,-0.09228516,0.0,0.0,0.851655,0,0,0.09228516,0.0,0.1938477,0.1938477,0.1938477,0.1938477,0.0,0.0,3.757691,0,0,0.1938477,0.0,-0.1134033,-0.1134033,-0.1134033,-0.1134033,0.0,0.0,1.28603,0,0,0.3,0.0,
